id;libelle;type;unite;millesime;dateEffet;dateFin;statutValidation;valeur;borneInf;borneInfIncluse;borneSup;borneSupIncluse;taux;utilisePar;varianteCle;arbitrageDocument;arbitragePoint;arbitrageQuestion;sourceReference;sourceUrl;sourceDateConsultation;validationPar;validationDate;notes
dmtg.bareme.ligne-directe;Barème des droits de mutation en ligne directe;bareme;decimal;2025;;;non-valide;;0;non;8072;oui;0,05;succession,demembrement;;;;;CGI art. 777;;2026-08-26;;;"Tranches jointives : la borne haute appartient à la tranche, la borne basse à la précédente. Référence citée par le simulateur de démembrement ; le rattachement des montants à cet article reste à confirmer."
dmtg.bareme.ligne-directe;Barème des droits de mutation en ligne directe;bareme;decimal;2025;;;non-valide;;8072;non;12109;oui;0,1;succession,demembrement;;;;;CGI art. 777;;2026-08-26;;;
dmtg.bareme.ligne-directe;Barème des droits de mutation en ligne directe;bareme;decimal;2025;;;non-valide;;12109;non;15932;oui;0,15;succession,demembrement;;;;;CGI art. 777;;2026-08-26;;;
dmtg.bareme.ligne-directe;Barème des droits de mutation en ligne directe;bareme;decimal;2025;;;non-valide;;15932;non;552324;oui;0,2;succession,demembrement;;;;;CGI art. 777;;2026-08-26;;;
dmtg.bareme.ligne-directe;Barème des droits de mutation en ligne directe;bareme;decimal;2025;;;non-valide;;552324;non;902838;oui;0,3;succession,demembrement;;;;;CGI art. 777;;2026-08-26;;;
dmtg.bareme.ligne-directe;Barème des droits de mutation en ligne directe;bareme;decimal;2025;;;non-valide;;902838;non;1805677;oui;0,4;succession,demembrement;;;;;CGI art. 777;;2026-08-26;;;
dmtg.bareme.ligne-directe;Barème des droits de mutation en ligne directe;bareme;decimal;2025;;;non-valide;;1805677;non;;;0,45;succession,demembrement;;;;;CGI art. 777;;2026-08-26;;;
dmtg.bareme.frere-soeur;Barème des droits de mutation entre frères et sœurs;bareme;decimal;2025;;;non-valide;;0;non;24430;oui;0,35;succession;;;;;;;;;;Aucune source ne figure dans le code.
dmtg.bareme.frere-soeur;Barème des droits de mutation entre frères et sœurs;bareme;decimal;2025;;;non-valide;;24430;non;;;0,45;succession;;;;;;;;;;
dmtg.bareme.neveu-niece;Barème des droits de mutation entre neveux et nièces;bareme;decimal;2025;;;non-valide;;0;non;;;0,55;succession;;;;;;;;;;Aucune source ne figure dans le code.
dmtg.bareme.tiers;Barème des droits de mutation entre non-parents;bareme;decimal;2025;;;non-valide;;0;non;;;0,6;succession;;;;;;;;;;Aucune source ne figure dans le code.
