id;libelle;type;unite;millesime;dateEffet;dateFin;statutValidation;valeur;borneInf;borneInfIncluse;borneSup;borneSupIncluse;taux;utilisePar;varianteCle;arbitrageDocument;arbitragePoint;arbitrageQuestion;sourceReference;sourceUrl;sourceDateConsultation;validationPar;validationDate;notes
pv-immobiliere.taux.impot-revenu;Taux d’imposition à l’impôt sur le revenu de la plus-value immobilière;taux;decimal;2026;;;non-valide;0,19;;;;;;pv-immobiliere;;;;;;;;;;
pv-immobiliere.forfait.frais-acquisition;Forfait de frais d’acquisition, retenu à défaut de frais réels;taux;decimal;2026;;;non-valide;0,075;;;;;;pv-immobiliere;;;;;;;;;;Appliqué au prix d’acquisition. Les frais réels, s’ils sont renseignés, sont retenus à sa place.
pv-immobiliere.forfait.travaux;Forfait de travaux, retenu à défaut de travaux réels;taux;decimal;2026;;;non-valide;0,15;;;;;;pv-immobiliere;;;;;;;;;;"Réservé aux immeubles bâtis détenus depuis plus de cinq ans. Le simulateur affiche un avertissement en deçà mais applique tout de même le forfait ; ce comportement n’est pas modifié par l’extraction."
pv-immobiliere.forfait.travaux.duree-minimale;Durée de détention minimale pour le forfait de travaux;quantite;annee;2026;;;non-valide;5;;;;;;pv-immobiliere;;;;;;;;;;
pv-immobiliere.abattement.ir.taux-annuel;Abattement pour durée de détention, impôt sur le revenu — taux par année;taux;decimal;2026;;;non-valide;0,06;;;;;;pv-immobiliere;;;;;CGI art. 150 VC;;2026-08-26;;;
pv-immobiliere.abattement.ir.annee-debut;Abattement impôt sur le revenu — dernière année sans abattement;quantite;annee;2026;;;non-valide;5;;;;;;pv-immobiliere;;;;;CGI art. 150 VC;;2026-08-26;;;L’abattement commence à la sixième année : le code compare la durée à cette valeur.
pv-immobiliere.abattement.ir.annee-exoneration;Abattement impôt sur le revenu — année à partir de laquelle la plus-value est exonérée;quantite;annee;2026;;;non-valide;22;;;;;;pv-immobiliere;;;;;CGI art. 150 VC;;2026-08-26;;;
pv-immobiliere.abattement.ps.taux-annuel;Abattement pour durée de détention, prélèvements sociaux — taux par année jusqu’à la 21ᵉ;taux;decimal;2026;;;non-valide;0,0165;;;;;;pv-immobiliere;;;;;CGI art. 150 VC;;2026-08-26;;;
pv-immobiliere.abattement.ps.taux-annee-22;Abattement prélèvements sociaux — taux de la 22ᵉ année;taux;decimal;2026;;;non-valide;0,016;;;;;;pv-immobiliere;;;;;CGI art. 150 VC;;2026-08-26;;;
pv-immobiliere.abattement.ps.taux-annuel-apres-22;Abattement prélèvements sociaux — taux par année au-delà de la 22ᵉ;taux;decimal;2026;;;non-valide;0,09;;;;;;pv-immobiliere;;;;;CGI art. 150 VC;;2026-08-26;;;
pv-immobiliere.abattement.ps.annee-exoneration;Abattement prélèvements sociaux — année à partir de laquelle la plus-value est exonérée;quantite;annee;2026;;;non-valide;30;;;;;;pv-immobiliere;;;;;CGI art. 150 VC;;2026-08-26;;;
pv-immobiliere.surtaxe.paliers;Surtaxe sur les plus-values imposables supérieures à 50 000 € — paliers;table;sans-unite;2026;;;non-valide;"[{""plafond"":50000,""taux"":0,""lissage"":0},{""plafond"":60000,""taux"":0.02,""lissage"":0.05},{""plafond"":100000,""taux"":0.02,""lissage"":0},{""plafond"":110000,""taux"":0.03,""lissage"":0.1},{""plafond"":150000,""taux"":0.03,""lissage"":0},{""plafond"":160000,""taux"":0.04,""lissage"":0.15},{""plafond"":200000,""taux"":0.04,""lissage"":0},{""plafond"":210000,""taux"":0.05,""lissage"":0.2},{""plafond"":250000,""taux"":0.05,""lissage"":0},{""plafond"":260000,""taux"":0.06,""lissage"":0.25},{""plafond"":null,""taux"":0.06,""lissage"":0}]";;;;;;pv-immobiliere;;;;;CGI art. 1609 nonies G · BOI-RFPI-TPVIE-20;;2026-08-26;;;"Chaque palier s’applique tant que la plus-value ne dépasse pas son plafond ; le dernier n’en a pas. La surtaxe vaut le taux appliqué à la plus-value, diminué du lissage multiplié par ce qui manque pour atteindre le plafond. Un lissage nul signifie un palier plat."
